taxon	species
EPA70CPm_EKDL220009460_1A_HYV73DSX3__69053_concoct_bins_bin.39	s__Campylobacter_D jejuni
EPA70CPm_EKDL220009460_1A_HYV73DSX3__69053_maxbin2_bins_bin.8	s__Campylobacter_D jejuni
EPA70CPm_EKDL220009460_1A_HYV73DSX3__69053_metawrap_70_10_bins_bin.1	s__Campylobacter_D jejuni
PID_1316_22EPA094CP__84131_maxbin2_bins_bin.1	s__Campylobacter_D jejuni
PID_1316_22EPA094CP__84131_metawrap_70_10_bins_bin.7	s__Campylobacter_D jejuni
PID_1316_22EPA094CP__84131_concoct_bins_bin.51	s__Campylobacter_D jejuni
PID_1316_22EPA094CP__84131_maxbin2_bins_bin.0	s__Campylobacter_D jejuni
S21EPA055CF__58402_concoct_bins_bin.29	s__Campylobacter_D jejuni
S21EPA055CF__58402_maxbin2_bins_bin.41	s__Campylobacter_D jejuni
S21EPA055CF__58402_metawrap_70_10_bins_bin.7	s__Campylobacter_D jejuni
