user_genome	closest_placement_reference
PID-1250-22EPA083CP6__74238	s__Campylobacter_D jejuni
PID-0477-20EPA017CP11__45379	s__Campylobacter_D jejuni
PID-0477-20EPA017CF10__45303	s__Campylobacter_D jejuni
PID-0666-21EPA039CF15__52163	s__Campylobacter_D jejuni
PID-0657-20EPA027CP15__51305	s__Campylobacter_D coli
PID-1214-EPA097-10__71836	s__Campylobacter_D jejuni
PID-0666-21EPA039CP12__52169	s__Campylobacter_D jejuni
PID-0444-20EPA015CF3__43897	s__Campylobacter_D jejuni
PID-0836-21EPA049CF8__57788	s__Campylobacter_D jejuni
PID-1150-22EPA088CP13__69355	s__Campylobacter_D jejuni
PID-0836-21EPA049CP8__57724	s__Campylobacter_D jejuni
PID-0657-20EPA027CP14__51315	s__Campylobacter_D coli
PID-1214-EPA097-13__71830	s__Campylobacter_D jejuni
PID-0906-20EPA017CP3__59990	s__Campylobacter_D jejuni
PID-1214-EPA097-15__71823	s__Campylobacter_D jejuni
PID-0818-21EPA041CF8__56477	s__Campylobacter_D jejuni
PID-0444-20EPA011CF8__43951	s__Campylobacter_D jejuni
PID-0836-21EPA049CF3__57767	s__Campylobacter_D jejuni
PID-1108-22EPA079CP16__67510	s__Campylobacter_D jejuni
PID-0915-21EPA034CF3__60018	s__Campylobacter_D jejuni
PID-1150-22EPA088CP2__69293	s__Campylobacter_D jejuni
PID-0915-21EPA034CP1__60010	s__Campylobacter_D jejuni
PID-0818-21EPA041CP9__56467	s__Campylobacter_D jejuni
PID-1108-22EPA079CP2__67543	s__Campylobacter_D jejuni
PID-0666-21EPA039CF5__52186	s__Campylobacter_D jejuni
PID-1108-22EPA078CP6__67533	s__Campylobacter_D jejuni
PID-1150-22EPA087CP8__69310	s__Campylobacter_D coli
PID-0915-21EPA034CF15__59943	s__Campylobacter_D jejuni
PID-0915-21EPA034CF13__59937	s__Campylobacter_D jejuni
PID-0444-20EPA011CP11__43909	s__Campylobacter_D jejuni
PID-1250-22EPA083CP13__74226	s__Campylobacter_D jejuni
PID-0477-20EPA017CP1__45363	s__Campylobacter_D jejuni
