taxon	species
20EPA017CP_AK9178_AK3909__53937_concoct_bins_bin.93	s__Campylobacter_D jejuni
20EPA017CP_AK9178_AK3909__53937_maxbin2_bins_bin.43	s__Campylobacter_D jejuni
20EPA017CP_AK9178_AK3909__53937_metawrap_70_10_bins_bin.9	s__Campylobacter_D jejuni
20EPA11CF_NOVASEQ__48413_concoct_bins_bin.79	s__Campylobacter_D jejuni
20EPA11CF_NOVASEQ__48413_metawrap_70_10_bins_bin.1	s__Campylobacter_D jejuni
20EPA11CF_NOVASEQ__48413_maxbin2_bins_bin.4	s__Campylobacter_D jejuni
20EPA15CP_NOVASEQ__48415_concoct_bins_bin.66	s__Campylobacter_D jejuni
20EPA15CP_NOVASEQ__48415_maxbin2_bins_bin.20	s__
20EPA27CP_NOVASEQ__48412_concoct_bins_bin.51	s__Campylobacter_D coli
20EPA27CP_NOVASEQ__48412_metawrap_70_10_bins_bin.6	s__Campylobacter_D coli
20EPA27CP_NOVASEQ__48412_maxbin2_bins_bin.17	s__Campylobacter_D coli
21EPA034CF_AK9164_AK9165__53941_maxbin2_bins_bin.27	s__Campylobacter_D jejuni
21EPA034CF_AK9164_AK9165__53941_metawrap_70_10_bins_bin.16	s__Campylobacter_D jejuni
21EPA034CF_AK9164_AK9165__53941_concoct_bins_bin.85	s__Campylobacter_D jejuni
21EPA039CF_AK9320_AK7544__53942_metawrap_70_10_bins_bin.5	s__Campylobacter_D jejuni
21EPA039CF_AK9320_AK7544__53942_concoct_bins_bin.29	s__Campylobacter_D jejuni
21EPA039CF_AK9320_AK7544__53942_maxbin2_bins_bin.18	s__Campylobacter_D jejuni
22EPA078CP__69056_metawrap_70_10_bins_bin.18	s__Campylobacter_D jejuni
22EPA078CP__69056_concoct_bins_bin.74	s__Campylobacter_D jejuni
22EPA078CP__69056_maxbin2_bins_bin.16	s__Campylobacter_D jejuni
Adap_22EPA077CP__70238_concoct_bins_bin.45	s__Campylobacter_D jejuni
Adap_22EPA077CP__70238_maxbin2_bins_bin.37	s__Campylobacter_D jejuni
Adap_22EPA077CP__70238_metawrap_70_10_bins_bin.14	s__Campylobacter_D jejuni
EPA079CPm_EKDL220009460_1A_HYV73DSX3__69052_maxbin2_bins_bin.26	s__Campylobacter_D jejuni
EPA079CPm_EKDL220009460_1A_HYV73DSX3__69052_concoct_bins_bin.63	s__Campylobacter_D jejuni
EPA079CPm_EKDL220009460_1A_HYV73DSX3__69052_metawrap_70_10_bins_bin.2	s__Campylobacter_D jejuni
EPA080CPm_EKDL220009460_1A_HYV73DSX3__69055_concoct_bins_bin.36	s__Campylobacter_D jejuni
EPA080CPm_EKDL220009460_1A_HYV73DSX3__69055_maxbin2_bins_bin.19	s__Campylobacter_D jejuni
EPA080CPm_EKDL220009460_1A_HYV73DSX3__69055_metawrap_70_10_bins_bin.7	s__Campylobacter_D jejuni
EPA083CPm_EKDL220009460_1A_HYV73DSX3__69054_metawrap_70_10_bins_bin.4	s__Campylobacter_D jejuni
EPA083CPm_EKDL220009460_1A_HYV73DSX3__69054_maxbin2_bins_bin.6	s__Campylobacter_D jejuni
EPA083CPm_EKDL220009460_1A_HYV73DSX3__69054_concoct_bins_bin.13	s__Campylobacter_D jejuni
PID_1316_22EPA085CP__84143_maxbin2_bins_bin.13	s__Campylobacter_D jejuni
PID_1316_22EPA085CP__84143_concoct_bins_bin.45	s__Campylobacter_D jejuni
PID_1316_22EPA085CP__84143_metawrap_70_10_bins_bin.7	s__Campylobacter_D jejuni
PID_1316_22EPA087CP__84061_metawrap_70_10_bins_bin.4	s__Campylobacter_D coli
PID_1316_22EPA087CP__84061_concoct_bins_bin.34	s__Campylobacter_D coli
PID_1316_22EPA087CP__84061_maxbin2_bins_bin.14	s__Campylobacter_D coli
PID_1316_22EPA088CP__84129_concoct_bins_bin.67	s__Campylobacter_D jejuni
PID_1316_22EPA088CP__84129_maxbin2_bins_bin.44	s__Campylobacter_D jejuni
PID_1316_22EPA088CP__84129_metawrap_70_10_bins_bin.1	s__Campylobacter_D jejuni
PID_1316_22EPA097CP__84128_maxbin2_bins_bin.1	s__Campylobacter_D jejuni
PID_1316_22EPA097CP__84128_metawrap_70_10_bins_bin.2	s__Campylobacter_D jejuni
PID_1316_22EPA097CP__84128_concoct_bins_bin.7	s__Campylobacter_D jejuni
S21EPA041CP__58398_metawrap_70_10_bins_bin.12	s__Campylobacter_D jejuni
S21EPA041CP__58398_concoct_bins_bin.28	s__Campylobacter_D jejuni
S21EPA041CP__58398_maxbin2_bins_bin.11	s__Campylobacter_D jejuni
S21EPA049CF__58394_metawrap_70_10_bins_bin.5	s__Campylobacter_D jejuni
S21EPA049CF__58394_maxbin2_bins_bin.3	s__Campylobacter_D jejuni
S21EPA049CF__58394_concoct_bins_bin.9	s__Campylobacter_D jejuni
S21EPA050CF__58391_maxbin2_bins_bin.46	s__Campylobacter_D jejuni
S21EPA050CF__58391_concoct_bins_bin.35	s__Campylobacter_D jejuni
