NZ_CP068567.1 Campylobacter jejuni strain CC19PF065 chromosome, complete genome 
NZ_CP068586.1 Campylobacter coli strain CC19CH076 chromosome, complete genome 
NZ_CP076507.1 Campylobacter jejuni strain R16.0174 chromosome, complete genome 
NZ_CP076509.1 Campylobacter coli strain R18.1828 chromosome, complete genome 
NZ_CP076510.1 Campylobacter coli strain R19.0802 chromosome, complete genome 
NZ_CP076503.1 Campylobacter coli strain R19.0895 chromosome, complete genome 
NZ_CP076504.1 Campylobacter jejuni strain R18.1301 chromosome, complete genome 
NZ_CP076505.1 Campylobacter jejuni strain R16.4752 chromosome, complete genome 
NZ_CP076513.1 Campylobacter coli strain R19.1157 chromosome, complete genome 
NZ_CP076657.1 Campylobacter novaezeelandiae strain W441b chromosome, complete genome 
NZ_CP077633.1 Campylobacter jejuni strain R16.2162 chromosome, complete genome 
NZ_CP077635.1 Campylobacter jejuni strain R19.1007 chromosome, complete genome 
NZ_CP080547.1 Campylobacter coli strain CAN10 chromosome 
NZ_AP024713.1 Campylobacter sp. 19-13652 chromosome, complete genome 
NZ_CP081480.1 Campylobacter jejuni strain NCTC12658 chromosome, complete genome 
NZ_CP082874.1 Campylobacter coli strain FDAARGOS_1466 chromosome, complete genome 
NZ_CP082871.1 Campylobacter hominis strain FDAARGOS_1467 chromosome, complete genome 
NZ_CP082881.1 Campylobacter coli strain FDAARGOS_1465 chromosome, complete genome 
NZ_CP082947.1 Campylobacter coli strain C203016 chromosome, complete genome 
NZ_CP083395.1 Campylobacter coli strain C203018 chromosome, complete genome 
NZ_CP083377.1 Campylobacter coli strain C203110 chromosome, complete genome 
NZ_CP083378.1 Campylobacter coli strain C203112 chromosome, complete genome 
NZ_CP083379.1 Campylobacter coli strain C203115 chromosome, complete genome 
NC_003912.7 Campylobacter jejuni RM1221, complete sequence 
NC_008599.1 Campylobacter fetus subsp. fetus 82-40, complete sequence 
NC_008787.1 Campylobacter jejuni subsp. jejuni 81-176, complete sequence 
NC_009714.1 Campylobacter hominis ATCC BAA-381, complete sequence 
NC_009802.2 Campylobacter concisus 13826, complete sequence 
NC_009839.1 Campylobacter jejuni subsp. jejuni 81116, complete sequence 
NC_012039.1 Campylobacter lari RM2100, complete sequence 
NC_017279.1 Campylobacter jejuni subsp. jejuni IA3902, complete sequence 
NC_017280.1 Campylobacter jejuni subsp. jejuni M1, complete sequence 
NZ_CM000854.1 Campylobacter jejuni subsp. jejuni 1336 chromosome, whole genome shotgun sequence 
NZ_CP005388.1 Campylobacter jejuni subsp. jejuni CG8421 chromosome, complete genome 
NC_017281.1 Campylobacter jejuni subsp. jejuni S3, complete sequence 
NC_018709.4 Campylobacter jejuni subsp. jejuni PT14, complete sequence 
NC_021834.1 Campylobacter jejuni 32488, complete sequence 
NC_022347.1 Campylobacter coli CVM N29710, complete sequence 
NC_022351.2 Campylobacter jejuni subsp. jejuni 00-2538, complete sequence 
NC_022353.2 Campylobacter jejuni subsp. jejuni 00-2544, complete sequence 
NC_022352.2 Campylobacter jejuni subsp. jejuni 00-2426, complete sequence 
NZ_CP076835.1 Campylobacter jejuni X chromosome, complete genome 
NC_022362.2 Campylobacter jejuni subsp. jejuni 00-2425, complete sequence 
NC_022132.1 Campylobacter coli 76339 chromosome I, complete sequence 
NC_022529.1 Campylobacter jejuni 4031 chromosome I, complete sequence 
NC_022660.2 Campylobacter coli 15-537360, complete sequence 
NZ_CP006999.2 Campylobacter fetus subsp. venerealis cfvi03/293 chromosome, complete genome 
NZ_CP007183.1 Campylobacter coli RM1875 chromosome, complete genome 
