aNKYR 471 74
abgB 1191 71
accA 939 71
accB 456 72
accC 1332 71
accD 843 71
acd 876 72
ackA 1197 69
acpS 348 52
adaB 453 66
adhE 3489 72
adhP 1080 73
adk 579 72
aguA 978 71
ahpC 597 69
aldA 1440 32
allB 1179 71
alr 987 71
alsT 1467 72
amiC 1980 72
amt 1240 48
ansA 996 66
aprE 3126 59
araC 2170 183
araJ 1302 68
argB 840 72
argC 1029 72
argD 1182 72
argG 1221 72
argS 1593 78
aroB 1056 71
aroG2 1341 72
aroK 498 70
arsB 1288 75
arsB~~~acr3 1047 57
arsP 948 57
arsR 318 48
arsS~~~baeS 1248 69
arsS~~~walK 1236 72
aspA 1407 72
ataC 807 77
atpA 1506 71
atpB 681 72
atpE 339 68
atpF 426 70
atpZ 330 70
atu1564 762 70
baeS 1290 70
bamA 2220 72
bamD 648 70
bax 735 71
bcsA 1552 47
betA 1722 72
bioA 1284 67
bioB 837 72
bioC 687 27
bioD 606 68
bioF 1143 70
birA2 654 72
bisC 543 72
blaOXA~~~blaOXA193 774 72
blc 531 93
bpt 720 73
brkB 807 71
c39G 601 74
cDC9 849 72
cYT1 1125 72
capC 2355 122
carA 1119 79
cas1 892 70
cas2 432 68
cas9 2973 91
cbrR 1245 71
ccaA 2103 74
ccoN 1467 72
ccoO 666 72
ccoP 864 72
ccoS 207 71
cdtA 807 73
cdtB 798 72
cdtC 571 73
cetB 498 78
cetC 495 67
cetZ 1290 71
ceuA~~~ceuB 993 72
ceuB 970 76
ceuC 939 71
cfa 1164 72
cfrA~~~fepA 2103 58
cgb 429 77
cgpA 663 72
cheA 2310 71
cheP 858 71
cheR 789 67
cheV 957 72
cheW 522 72
cheX 423 66
cheY 435 72
ciaI 564 72
cirA 2311 70
citM 1347 71
clpA 2130 68
clpA~~~clpB 2574 72
clpP 585 76
clpX 1224 72
cmeA 1104 75
cmeB 4594 75
cmeD 1275 76
cmeE 741 77
cmeF 3018 76
cmoA 708 72
